ticket,category
Our accounting team needs to add PO number 99201 to the monthly invoice.,BILLING
"The promo code SAVE20 failed to apply at checkout, please credit the difference.",BILLING
My card was charged $49 instead of the promotional rate of $29 per month.,BILLING
Can we pay via direct bank wire transfer instead of credit card?,BILLING
"Subscribed yesterday but service not active, payment status stuck in processing.",BILLING
I need a refund for the remaining unused 6 months of my annual plan.,BILLING
Where do I download my payment history in PDF format?,BILLING
I got charged for 5 seats instead of 3 user seats on our enterprise account.,BILLING
Why is there a $5 processing fee added to my transaction?,BILLING
"Automatic payment failed due to insufficient funds, how do I retry payment now?",BILLING
Can I transfer my paid plan subscription to a different user account?,BILLING
We were billed twice on the 1st and 15th of this month for the exact same plan.,BILLING
Please send receipt for the payment made yesterday via Apple Pay.,BILLING
"Payment gateway timed out during transaction, did the charge go through?",BILLING
I want to remove my saved credit card details from your portal.,BILLING
Why is my account marked as past due when I paid two days ago?,BILLING
Need invoice copy with vendor tax ID for corporate audit.,BILLING
Is there a grace period before subscription cancellation after payment failure?,BILLING
Will I lose access immediately if I turn off auto-renew?,BILLING
Charge failed code 402 card declined by issuing bank.,BILLING
Refund requested 10 business days ago has not settled in my account.,BILLING
I need a pro-forma invoice before our procurement team can release payment.,BILLING
Can you split our billing across two separate credit cards?,BILLING
Annual subscription renewed automatically without sending prior reminder email.,BILLING
Charges appearing on my Amex statement under billing merchant name.,BILLING
How to change primary credit card for recurring monthly billing?,BILLING
Billing department contact phone number or direct email address required.,BILLING
Requesting immediate full refund for accidental plan upgrade.,BILLING
Is tax included in the $99 pricing displayed on your website?,BILLING
My company requires W-9 tax form from your finance department before paying invoice.,BILLING
Payment processed successfully but invoice status still shows unpaid in portal.,BILLING
Can we get net 30 payment terms for our enterprise tier license?,BILLING
Disputing unauthorized charge on my account from yesterday.,BILLING
"Invoice #4401 reflects incorrect company name, please reissue.",BILLING
Payment failed error 1002 invalid card CVV number.,BILLING
Do you charge extra for wire transfer processing?,BILLING
Subscription price increased from $15 to $25 without customer notification.,BILLING
I need a signed receipt for tax deduction verification.,BILLING
Kindly pause my subscription billing for 2 months while I am on vacation.,BILLING
Why am I getting billing reminder emails when my account is fully paid up?,BILLING
"Credit card charge pending for 5 days, please confirm if payment was received.",BILLING
How do I update credit card expiration date in billing settings?,BILLING
Need refund due to purchasing wrong license tier by mistake.,BILLING
Where is the invoice download link in the user dashboard?,BILLING
"Our non-profit organization qualifies for tax exemption, please remove VAT charge.",BILLING
Why did auto-charge happen on 28th instead of 1st of the month?,BILLING
"Chargeback notice received from bank, let's resolve billing issue directly.",BILLING
Requesting refund for add-on package that was never activated.,BILLING
Can I pay annual fee in 4 quarterly installments?,BILLING
Is there any charge for downgrading to the basic free plan?,BILLING
"Card charged twice $199.00 on July 25th, please refund duplicate charge.",BILLING
"Payment failure email received, updated card details in portal please re-try.",BILLING
Receipt shows $0 total charge even though my credit card was debited $50.,BILLING
Need corporate invoice addressed to our European subsidiary.,BILLING
Where can I check remaining balance on my gift card credit?,BILLING
Subscription charge failed due to zip code verification mismatch.,BILLING
Can I get a refund if I cancel within 14 days of purchase?,BILLING
Finance team requested proof of payment for transaction ref #77102.,BILLING
Unrecognized billing descriptor on my debit card statement.,BILLING
Please send updated receipt after applying referral credit discount.,BILLING
"I paid via SEPA transfer 3 days ago, why is subscription still inactive?",BILLING
Where to enter VAT identification number for reverse charge tax invoice?,BILLING
"Charged twice on initial sign-up, kindly reverse second charge.",BILLING
Will I receive an invoice notification before my card is charged next month?,BILLING
Can we pay by check for annual license key?,BILLING
Payment failed: transaction limit exceeded on credit card.,BILLING
Need breakdown of local taxes and state fees on recent bill.,BILLING
My account was suspended for non-payment but payment went through yesterday.,BILLING
Cant login,TECHNICAL
App keeps crashing,TECHNICAL
Server is down,TECHNICAL
Page not loading,TECHNICAL
API returning error,TECHNICAL
Login page frozen,TECHNICAL
Website is slow today,TECHNICAL
Upload keeps failing,TECHNICAL
Dashboard shows blank screen,TECHNICAL
"Unable to reset password, link expired immediately.",TECHNICAL
Getting 500 internal server error when saving profile.,TECHNICAL
The desktop application crashes every time I click the export to PDF button.,TECHNICAL
Database connection timed out after 30 seconds of inactivity.,TECHNICAL
Multi-factor authentication SMS code is not arriving on my mobile phone.,TECHNICAL
"CSS styles are broken on Chrome version 120, looks unstyled.",TECHNICAL
API endpoint /v1/users is returning HTTP 403 Forbidden despite valid JWT token.,TECHNICAL
Mobile app stuck on splash screen after latest update on iOS 17.,TECHNICAL
Search functionality is not returning any results for existing records.,TECHNICAL
Webhooks are failing to deliver payload to our destination URL.,TECHNICAL
SSL certificate error NET::ERR_CERT_DATE_INVALID when opening application.,TECHNICAL
Memory leak observed in background sync process causing high CPU usage.,TECHNICAL
Docker container exits with code 137 out of memory error.,TECHNICAL
Drag and drop file upload is unresponsive on Firefox browser.,TECHNICAL
Single Sign-On SSO integration via Okta is failing with SAML response error.,TECHNICAL
System throws NullPointerException when filtering table by date range.,TECHNICAL
Audio export is distorted and dropping frames on rendering.,TECHNICAL
WebSocket connection closed unexpectedly with code 1006.,TECHNICAL
Password reset email link redirects to a 404 page not found.,TECHNICAL
Analytics dashboard widgets fail to load metrics data.,TECHNICAL
Error 502 Bad Gateway when accessing user dashboard.,TECHNICAL
Unable to connect to remote server via SSH port 22.,TECHNICAL
App crashes when switching between dark mode and light mode.,TECHNICAL
CSV import hangs at 99% progress bar and never completes.,TECHNICAL
Real-time notifications are delayed by over 30 minutes.,TECHNICAL
User permissions not updating after role change in admin console.,TECHNICAL
Cache invalidation issue causing outdated data to display.,TECHNICAL
High latency on GraphQL queries for nested resources.,TECHNICAL
"App freezes when loading dataset with more than 10,000 rows.",TECHNICAL
CORS header missing error when making fetch request from frontend domain.,TECHNICAL
Session expires every 5 minutes requiring constant re-login.,TECHNICAL
App crashes immediately on startup on Android 14 device,TECHNICAL
Getting 404 error when clicking on user settings tab,TECHNICAL
API rate limit 429 error returned even though requests are within quota,TECHNICAL
PDF generation script times out for reports larger than 10 pages,TECHNICAL
Cannot establish database pool connection timeout exceeded,TECHNICAL
Password field does not unmask password when clicking eye icon,TECHNICAL
Two-factor authentication code rejected as invalid every time,TECHNICAL
Background worker queue processing stopped unexpectedly,TECHNICAL
Microservice service mesh throwing 503 Service Unavailable,TECHNICAL
File attachment upload fails with payload too large error 413,TECHNICAL
"Search index out of sync, newly created records do not appear in queries",TECHNICAL
Browser console shows Uncaught TypeError: Cannot read property of undefined,TECHNICAL
Git integration failing to sync repository changes to workspace,TECHNICAL
User session drops when navigating between subdomains,TECHNICAL
System response time degraded from 200ms to over 5 seconds,TECHNICAL
Database migration script failed with deadlock detected error,TECHNICAL
Mobile push notifications stopped working for iOS devices,TECHNICAL
Video playback stutters and buffers continuously on web app,TECHNICAL
REST API POST request fails with 400 Bad Request JSON malformed,TECHNICAL
Unable to configure custom domain DNS CNAME record verification failing,TECHNICAL
App crashes when clicking on analytics export button,TECHNICAL
Memory consumption spikes to 100% when running data filter,TECHNICAL
Single sign-on SAML assertion expired error during login,TECHNICAL
Web application not responsive on mobile screens layout broken,TECHNICAL
Export to Excel outputs corrupt .xlsx file that cannot be opened,TECHNICAL
Kafka consumer group rebalancing loop causing processing delays,TECHNICAL
Redis cache connection refused on port 6379,TECHNICAL
Password reset token marked as invalid or already used,TECHNICAL
Image upload thumbnail generation failing with PIL error,TECHNICAL
Cloud storage bucket access denied 403 when downloading reports,TECHNICAL
System log shows memory heap out of memory allocation failure,TECHNICAL
Automated backup job failed last night with disk full error,TECHNICAL
Frontend assets failed to load due to 404 on bundle.js file,TECHNICAL
WebSocket disconnects every 60 seconds with ping timeout,TECHNICAL
Admin dashboard loading indefinitely without displaying error message,TECHNICAL
Network socket connection reset by peer during file transfer,TECHNICAL
Mobile app keyboard overlaps input fields making form unfillable,TECHNICAL
Third-party OAuth login via Google returning access_denied error,TECHNICAL
Database query execution time exceeded maximum limit of 30s,TECHNICAL
Dark mode toggle resets back to light mode on page refresh,TECHNICAL
Unable to generate API keys in developer console button disabled,TECHNICAL
Server returns HTTP 504 Gateway Timeout on heavy report query,TECHNICAL
App crashes when uploading files larger than 5MB,TECHNICAL
User authentication cookie not setting SameSite attribute correctly,TECHNICAL
Email template rendering broken with raw HTML code showing,TECHNICAL
System throws 500 error when submitting contact form,TECHNICAL
Elasticsearch cluster status yellow unassigned shards error,TECHNICAL
Unable to clear app cache on iOS settings menu,TECHNICAL
App freezes when scrolling through long drop-down options list,TECHNICAL
Invalid JWT token signature error when making API requests,TECHNICAL
Database table row lock preventing user record updates,TECHNICAL
Docker service fails to start container port already in use,TECHNICAL
Mobile app battery drain issue running intensive background process,TECHNICAL
Form submission button double submits creating duplicate entries,TECHNICAL
API endpoint returning 500 error when payload contains special symbols,TECHNICAL
App crashes when rotating screen orientation on tablet,TECHNICAL
SSL handshake failed when connecting to secure backend endpoint,TECHNICAL
Session timeout dialog appears immediately after logging in,TECHNICAL
System monitoring alert CPU usage above 95% threshold,TECHNICAL
Cannot upload profile photo file extension .png not recognized,TECHNICAL
Report graph not rendering canvas webgl error,TECHNICAL
App fails to connect to local network printer,TECHNICAL
Microservice RPC call failed with deadline exceeded status,TECHNICAL
Unable to delete team member from workspace permissions error,TECHNICAL
Infinite redirect loop when accessing login URL,TECHNICAL
Data sync failing between web application and mobile app,TECHNICAL
File download link triggers security browser warning blocked content,TECHNICAL
Password reset email not arriving in inbox or spam folder,TECHNICAL
App crashes on tap of notifications tab icon,TECHNICAL
Server time out error during bulk CSV record export,TECHNICAL
Web page displays raw JSON code instead of rendered UI page,TECHNICAL
Database primary key conflict on duplicate batch insert,TECHNICAL
User interface frozen modal dialog backdrop cannot be closed,TECHNICAL
API response structure changed breaking client-side parser,TECHNICAL
Unable to authorize desktop application device code expired,TECHNICAL
System throws 503 service unavailable during deployment window,TECHNICAL
File upload progress bar remains at 0% indefinitely,TECHNICAL
Memory leak in Node.js event listener preventing garbage collection,TECHNICAL
Login button unresponsive when clicked on Safari browser,TECHNICAL
Need salry slip,HR
Leave request pending,HR
Offer letter delay,HR
Bank details update,HR
Attendance not marked,HR
How do I submit my annual leave application for next month?,HR
When will the salary slips for July be uploaded to HR portal?,HR
Requesting update on my pending sick leave request submitted last Friday.,HR
Need to update my emergency contact details and home address in employee records.,HR
"My salary for this month was underpaid by 2 days, please review attendance log.",HR
Where can I find the official company holiday calendar for 2026?,HR
I haven't received my offer letter copy for the senior engineer role yet.,HR
How do I submit claims for medical expense reimbursement?,HR
Need HR approval for remote work request for next two weeks.,HR
Requesting experience letter and NOC for higher education application.,HR
My maternity leave application needs formal approval from HR department.,HR
How can I update my direct deposit bank account details in payroll?,HR
Discrepancy in leave balance counter on employee portal.,HR
Need letter of employment verification for home loan approval.,HR
Who is my assigned HR business partner for department queries?,HR
Requesting clarification on health insurance policy coverage details.,HR
Attendance for yesterday was marked absent even though I logged in.,HR
When will annual performance appraisal reviews begin?,HR
How to apply for parental paternity leave as per company policy?,HR
Need assistance updating tax declaration forms for financial year.,HR
Requesting copy of company code of conduct and HR policies handbook.,HR
Delay in processing joining bonus payment on first salary credit.,HR
How do I initiate offboarding resignation process in HR portal?,HR
PF provident fund UAN details mismatch in payroll profile.,HR
Need approval for internal job transfer application within company.,HR
How to request company laptop upgrade through internal HR IT request?,HR
Discrepancy in over-time calculation on last pay stub.,HR
Requesting extended unpaid leave of absence for personal reasons.,HR
How to enroll family members under group health insurance scheme?,HR
Need guidance on bereavement leave eligibility and document proof required.,HR
My biometric attendance clock-in was not recorded this morning.,HR
When will Form 16 tax certificate be issued by HR payroll team?,HR
Requesting confirmation of permanent employment status after probation period.,HR
How to claim travel allowance reimbursement for business trip expenses?,HR
Need HR assistance regarding workplace accommodation for medical condition.,HR
Questions regarding ESOP stock option vesting schedule and taxation.,HR
How do I download my monthly salary payslip from HR portal?,HR
My leave request for next week is still pending manager approval,HR
Requesting employment verification letter for visa processing,HR
How to update emergency contact number in employee profile?,HR
"Salary credited to wrong bank account, please update direct deposit info",HR
Attendance marked as half day despite working full hours on Monday,HR
Where to upload medical certificates for sick leave approval?,HR
Need copy of signed employment agreement and offer letter,HR
How to apply for study leave under professional development policy?,HR
Discrepancy in gross salary computation on current month payslip,HR
When is the deadline for submitting annual tax declaration proofs?,HR
How to request relocation allowance for office transfer?,HR
Need HR approval for working from home during home renovation,HR
PF transfer request from previous employer status update required,HR
How do I claim health insurance reimbursement for outpatient treatment?,HR
Requesting formal internship completion certificate for college submission,HR
"My probation period completed last week, when will confirmation letter be issued?",HR
Attendance portal not accepting manual punch adjustment request,HR
How to register newborn baby under company medical insurance plan?,HR
Need letter stating salary breakdown for bank credit card application,HR
Requesting clarification on casual leave carry forward rules for next year,HR
Who do I contact for exit interview scheduling after resignation?,HR
Salary slip for previous quarter missing from employee portal archive,HR
How to submit travel expense receipts for client visit reimbursement?,HR
Discrepancy in total leave days balance shown on dashboard,HR
Need HR assistance with Provident Fund account transfer,HR
How to apply for bereavement leave following family emergency?,HR
Requesting update on annual appraisal salary revision implementation date,HR
"My work anniversary was missed, checking on anniversary bonus eligibility",HR
How do I update marital status in company personnel records?,HR
Need copy of NDA non-disclosure agreement signed during onboarding,HR
Requesting approval for sabbatical leave of 3 months for higher studies,HR
Attendance clock-in app failed to capture location tag this morning,HR
When will performance bonus for Q2 be credited to bank account?,HR
How to request ergonomics chair for work from home setup?,HR
Need employment reference check letter for landlord lease agreement,HR
Salary deduction for income tax TDS seems higher than calculated,HR
How to register for internal leadership training program?,HR
Requesting update on maternity leave extension request,HR
Where can I view my accumulated annual leave encashment details?,HR
Need HR clear stance on moonlighting policy and side projects,HR
How to submit medical fitness certificate after returning from extended sick leave?,HR
Discrepancy in night shift allowance credit on pay slip,HR
Requesting relocation assistance details for new joining location,HR
How to update PAN card and Aadhaar details in HR database?,HR
Need official confirmation of notice period buyout approval,HR
Attendance punch missing due to server maintenance yesterday morning,HR
How to claim internet allowance under remote work reimbursement policy?,HR
Requesting copy of company grievance redressal policy document,HR
When will new health insurance ID cards be distributed to employees?,HR
"Salary credited late this month, when will direct deposit clear?",HR
How to apply for compensatory off comp-off for working on weekend?,HR
Need HR support for resolving workplace conflict within team,HR
Requesting experience certificate and service letter post resignation,HR
How to update residential address for Form 16 mailing?,HR
Discrepancy in LTA leave travel allowance claim processing,HR
Need clarification on maternity benefit entitlement and pay continuation,HR
Attendance regularization request rejected by system automatically,HR
How to register dependants for company dental coverage plan?,HR
Requesting duplicate copy of employee identity ID card,HR
Salary slip shows incorrect designation title after promotion,HR
How to submit fuel allowance bills for monthly reimbursement?,HR
Need confirmation on entitlement of paternity leave days,HR
Who handles employee assistance wellness counseling programs in HR?,HR
Attendance log missing punch-out timestamp for yesterday evening,HR
How to apply for internal job posting transfer to overseas office?,HR
Requesting clarification on notice period duration during probation,HR
Salary structure revision letter requested for bank loan application,HR
Where to find company holiday list for regional branch offices?,HR
Need assistance submitting medical claims through TPA insurance portal,HR
How to update official designation on email signature and HR profile?,HR
Discrepancy in gratuity calculation on final settlement quote,HR
Requesting extension of probation period review meeting date,HR
Attendance not recorded on remote working day due to system outage,HR
How to claim meal allowance reimbursement for late night shift work?,HR
Need HR letter confirming remote work authorization for digital nomad visa,HR
Salary credited without performance incentive component included,HR
How to register for company sponsored professional certification exam?,HR
Requesting copy of exit clearance form after final working day,HR
What are your office hours,GENERAL
Where is your office located,GENERAL
How do I contact support,GENERAL
Need pricing information,GENERAL
Do you have a demo,GENERAL
Can someone guide me on how to schedule a product demonstration call for our team?,GENERAL
What are your customer support working hours during public holidays?,GENERAL
Where is your corporate headquarters office located?,GENERAL
Do you offer discounts for non-profit organizations or educational institutions?,GENERAL
Could you send over a PDF product brochure and feature overview catalog?,GENERAL
How can I schedule a 30-minute sales call with an account representative?,GENERAL
Where can I find your privacy policy and security compliance documentation?,GENERAL
Are your services compliant with GDPR and HIPAA regulations?,GENERAL
Do you have a public roadmap for upcoming feature releases?,GENERAL
How do I sign up for your monthly product updates newsletter?,GENERAL
Is there a free trial period available before purchasing a plan?,GENERAL
What languages does your customer support team assist in?,GENERAL
Where can I view customer reviews and case studies from existing clients?,GENERAL
Do you provide customized enterprise deployment options?,GENERAL
How can we partner with your company as a reseller or affiliate?,GENERAL
What is the recommended browser and system configuration for your software?,GENERAL
Where can I find official branding guidelines and company logo assets?,GENERAL
Is there a community forum or user group for sharing tips and best practices?,GENERAL
How do I unsubscribe from promotional marketing emails?,GENERAL
Can you provide a comparison table between your basic and premium plans?,GENERAL
What is the maximum file storage limit per user account?,GENERAL
Do you offer training sessions or onboarding webinars for new teams?,GENERAL
Where can I find your terms of service and end-user license agreement?,GENERAL
How to report a security vulnerability or bug to your security team?,GENERAL
Do you offer a self-hosted on-premises deployment option?,GENERAL
What is your average uptime SLA commitment for enterprise clients?,GENERAL
How do I contact your media relations or press inquiry department?,GENERAL
Are there any upcoming user conference events or webinars planned?,GENERAL
Can I request a custom feature build specifically for our workflow?,GENERAL
Where can I read user documentation and video tutorials?,GENERAL
What is your company's physical mailing address for corporate notices?,GENERAL
Do you support custom integrations with third-party software tools?,GENERAL
How long has your company been in operation?,GENERAL
Where can I check real-time system status and service uptime?,GENERAL
What are your standard support response time SLAs?,GENERAL
Where can I download your company logo and press kit assets?,GENERAL
Do you offer live chat support on weekends?,GENERAL
How can I request a live demo for 20 team members?,GENERAL
Is your platform compliant with SOC 2 Type II standards?,GENERAL
Where is your primary data center facility located?,GENERAL
Can you provide a high-level overview of key platform features?,GENERAL
Do you have partner program opportunities for agencies?,GENERAL
What is your customer support contact phone number?,GENERAL
How to request a formal sales quote for enterprise licensing?,GENERAL
Where can I find user documentation guides and API docs?,GENERAL
Do you offer discounts for multi-year contracts?,GENERAL
What is the process for submitting product feedback or feature requests?,GENERAL
Is your mobile application available on both iOS and Android?,GENERAL
How do I subscribe to your engineering tech blog?,GENERAL
Where can I read success stories and customer testimonials?,GENERAL
What is your policy regarding data privacy and user tracking?,GENERAL
Do you have an ambassador or referral program?,GENERAL
How to register for the upcoming product launch webinar?,GENERAL
What are the system hardware requirements for running your software?,GENERAL
Where can I view your company's carbon neutral sustainability report?,GENERAL
Do you support multiple languages in the user interface?,GENERAL
How do I get in touch with your business development team?,GENERAL
What is the difference between starter plan and professional plan?,GENERAL
Where can I check if there is an ongoing service maintenance outage?,GENERAL
Do you offer student or academic institution discounts?,GENERAL
How can I request a security compliance questionnaire response?,GENERAL
What is your official corporate registration and tax ID number?,GENERAL
Where to find getting started guides for new user onboarding?,GENERAL
Do you host community meetup events or developer hackathons?,GENERAL
How to change communication preferences in my account?,GENERAL
What is your refund policy for unused annual subscriptions?,GENERAL
Where can I find whitepapers on your technology architecture?,GENERAL
Do you provide dedicated account managers for enterprise customers?,GENERAL
How can I report a copyright infringement or DMCA notice?,GENERAL
What is your SLA commitment for urgent high severity support tickets?,GENERAL
Where to submit press inquiries or interview requests with founders?,GENERAL
Do you offer custom training workshops for corporate enterprise teams?,GENERAL
How can I opt out of telemetry and usage analytics collection?,GENERAL
What are the supported payment options available on your platform?,GENERAL
Where can I download the latest version release notes?,GENERAL
Do you have a reseller network in the Asia Pacific region?,GENERAL
How to contact your data protection officer DPO for privacy queries?,GENERAL
What is the maximum file size supported for cloud storage?,GENERAL
Where to find official user forum and discussion community?,GENERAL
Do you offer SLA guarantees for 99.99% infrastructure availability?,GENERAL
How to schedule an architecture review call with your solutions engineers?,GENERAL
What is your policy on data retention after account cancellation?,GENERAL
Where can I view pricing plans and feature matrix comparison?,GENERAL
Do you support single sign-on integration out of the box?,GENERAL
How to sign up for beta testing upcoming experimental features?,GENERAL
What are your holiday support desk operational hours?,GENERAL
Where is your European regional office located?,GENERAL
Do you offer custom SLA options for mission-critical enterprise workloads?,GENERAL
How can I verify the authenticity of an email sent by your domain?,GENERAL
What is your company vision and product development roadmap?,GENERAL
Where can I find video walkthroughs and feature tutorial playlists?,GENERAL
Do you provide phone call support or screen sharing sessions?,GENERAL
How to request a formal vendor security assessment compliance packet?,GENERAL
What are the options for exporting company data if we leave the platform?,GENERAL
Where can I check your current cloud uptime historical statistics?,GENERAL
Do you offer non-profit organization discounts on annual tiers?,GENERAL
How can I reach your legal department regarding terms of service?,GENERAL
What is the minimum contract commitment required for custom enterprise plan?,GENERAL
Where to report phishing attempts impersonating your support team?,GENERAL
Do you host regular product training webinars for new admins?,GENERAL
How to request a trial extension for evaluating features longer?,GENERAL
What are the best practices for migrating data into your platform?,GENERAL
Where can I view your ISO 27001 certification document?,GENERAL
Do you support custom domain branding for customer portals?,GENERAL
How to contact support when unable to access account email?,GENERAL
What is your policy regarding subprocessor data sharing?,GENERAL
Where to find product roadmap voting board for requesting features?,GENERAL
"Do you offer local currency invoicing in CAD, AUD, and GBP?",GENERAL
How can I schedule a 1-on-1 onboarding session with customer success?,GENERAL
What is the address of your main customer service operations center?,GENERAL
Why is my account status marked past due when payment was made 2 days ago? Waiting for your prompt reply.,BILLING
Where can I view and download past payment receipts in PDF format? Appreciate your assistance.,BILLING
Customer request: Unfamiliar charge appearing on credit card statement with merchant name.,BILLING
Requesting itemized expense receipt for employer reimbursement process.,BILLING
Our accounting department requires a GST invoice with company tax registration.,BILLING
"Please assist with: Discount code SAVE30 failed to apply at checkout, please refund difference. Looking forward to your help.",BILLING
Transaction failed at checkout gateway but money was deducted from bank. Please resolve this as soon as possible.,BILLING
Urgent inquiry: Why was sales tax applied when our organization is tax-exempt? Appreciate your assistance.,BILLING
"Hello, Is tax included in the quoted price or added separately at checkout?",BILLING
"Double charge on debit card for annual renewal, please reverse second payment. Thank you.",BILLING
Urgent inquiry: Subscription auto-renewed without sending prior renewal reminder notice. Please resolve this as soon as possible.,BILLING
Urgent inquiry: Subscription auto-renewed without sending prior renewal reminder notice.,BILLING
Can we change billing cycle from monthly recurring to discounted annual billing?,BILLING
Kindly check: Is tax included in the quoted price or added separately at checkout? Waiting for your prompt reply.,BILLING
Why is my account status marked past due when payment was made 2 days ago?,BILLING
Kindly waive the late payment processing fee on our monthly invoice.,BILLING
Customer request: Need to update billing contact email and primary credit card expiration date.,BILLING
Kindly check: Disputing unauthorized charge billed to my corporate card statement. Kindly update me on this.,BILLING
"Hi support team, Why is my account status marked past due when payment was made 2 days ago?",BILLING
"Double charge on debit card for annual renewal, please reverse second payment. Please resolve this as soon as possible.",BILLING
"Good day, Requesting immediate full refund for accidental double charge on credit card.",BILLING
Kindly waive the late payment processing fee on our monthly invoice. Please resolve this as soon as possible.,BILLING
"Invoice shows wrong company address, please reissue corrected receipt. Appreciate your assistance.",BILLING
"Invoice shows wrong company address, please reissue corrected receipt. Kindly update me on this.",BILLING
"Hello, Charged for 10 user seats instead of 5 user seats on our account.",BILLING
Subscription auto-renewed without sending prior renewal reminder notice. Thanks in advance!,BILLING
Customer request: Payment declined code 402 transaction limit exceeded on card. Appreciate your assistance.,BILLING
Can we pay via bank wire transfer or ACH instead of corporate credit card? Thanks in advance!,BILLING
Unfamiliar charge appearing on credit card statement with merchant name. Thanks in advance!,BILLING
Can I transfer remaining paid subscription balance to another user? Waiting for your prompt reply.,BILLING
"Hi support team, How long does a pending credit card refund take to clear in bank account?",BILLING
"Discount code SAVE30 failed to apply at checkout, please refund difference. Need this fixed today.",BILLING
"Urgent inquiry: My card expired and auto-renewal failed, how to update payment details?",BILLING
"Hello, Kindly waive the late payment processing fee on our monthly invoice.",BILLING
Customer request: Requesting itemized expense receipt for employer reimbursement process.,BILLING
Urgent inquiry: Requesting credit note for the overbilled amount on last month's statement. Kindly update me on this.,BILLING
Please assist with: Transaction failed at checkout gateway but money was deducted from bank. Please resolve this as soon as possible.,BILLING
Requesting immediate full refund for accidental double charge on credit card. Looking forward to your help.,BILLING
I was billed twice for my subscription payment on July 15th. Kindly update me on this.,BILLING
Payment declined code 402 transaction limit exceeded on card. Please resolve this as soon as possible.,BILLING
Kindly check: Our accounting department requires a GST invoice with company tax registration. Appreciate your assistance.,BILLING
Unfamiliar charge appearing on credit card statement with merchant name.,BILLING
Subscription auto-renewed without sending prior renewal reminder notice.,BILLING
Kindly check: Please resend the official tax invoice for invoice number #9901.,BILLING
"Good day, Need to update billing contact email and primary credit card expiration date. Thanks in advance!",BILLING
Requesting credit note for the overbilled amount on last month's statement. Thanks in advance!,BILLING
Unfamiliar charge appearing on credit card statement with merchant name. Waiting for your prompt reply.,BILLING
Please assist with: Can we pay via bank wire transfer or ACH instead of corporate credit card?,BILLING
"Hi support team, Can I transfer remaining paid subscription balance to another user?",BILLING
"Invoice shows wrong company address, please reissue corrected receipt.",BILLING
